id,source,language,category,text,label
1,Youm7,ar,تكنولوجيا,اتهم المدعي العام لولايه تكساس  كين باكستون  لعبه روبلوكس بـ تغليب مصلحه المتحرشين بالاطفال عبر الانترنت والارباح علي سلامه اطفال تكساس   زاعما في دعوي قضائيه رفعها هذا الاسبوع اتهم المدعي العام لولايه تكساس  كين باكستون  لعبهروبلوكسبـ تغليب مصلحه المتحرشين بالاطفال عبر الانترنت والارباح علي سلامه اطفال تكساس   زاعما في دعوي قضائيه رفعها هذا الاسبوع انها  تتجاهل بشكل صارخ قوانين السلامه علي الانترنت علي مستوي الولايه والحكومه الفيدراليه  وتخدع الاباء بشان مخاطر منصتها    وتتهم الدعوي روبلوكس بممارسات تجاريه خادعه  اذ تضلل الاباء والمستخدمين بشان ميزات الامان الخاصه بها  وتخلق ازعاجا عاما من خلال توفير مساحه  اصبحت وجهه مالوفه لمتحرشي الاطفال الذين يستغلونهم جنسيا   وتركز امثله الدعوي علي حالات تعرض فيها اطفال للاساءه من قبل متحرشين التقوا بهم عبر روبلوكس  وانشطه جماعات مثل 764 التي استخدمت منصات الكترونيه لتحديد هويه الضحايا وابتزازهم لدفعهم الي افعال جنسيه صريحه او ايذاء انفسهم  ووفقا للدعوي  لم تبدا حمله روبلوكس للرقابه الابويه الا بعد عدد من الدعاوي القضائيه  وتقرير صدر خريف العام الماضي عن شركه هيندنبورغ للرهان علي المكشوف  جاء فيه ان  ابحاثها داخل اللعبه كشفت عن بيئه جحيميه للتحرش الجنسي بالاطفال  تعرض الاطفال للاستدراج  والمواد الاباحيه  والمحتوي العنيف  والخطاب المسيء للغايه   وفي اغسطس  رفعت ولايه لويزيانادعوي قضائيهمماثله  زاعمه ان روبلوكس  سمحت ورسخت بيئه الكترونيه يزدهر فيها معتدو الاطفال   وبعد شهرين  رفعت ولايه كنتاكي دعوي قضائيه ايضا ضد روبلوكس  واصفه اياها بانها  موطن لمعتدي الاطفال   وفي الشهر الماضي  استدعي المدعي العام لولايه فلوريدا  جيمس اوثماير  روبلوكس بشان مزاعم مماثله  ولا تقتصر مقاضاه روبلوكس علي الولايات فحسب  بل رفعت العديد من العائلات ولاعبي روبلوكس دعاوي قضائيه ضد المنصه بزعم الاساءه  مثل القضايا المفصله في دعوي تكساس  ورد اريك بورترفيلد  المدير الاول لاتصالات السياسات في روبلوكس  علي الدعوي القضائيه في بيان لموقع ذا فيرج  قائلا   نشعر بخيبه امل لانه بدلا من التعاون مع روبلوكس في هذا التحدي الذي يواجه قطاع الالعاب علي نطاق واسع والسعي الي حلول حقيقيه  اختار المدعي العام رفع دعوي قضائيه بناء علي معلومات مضلله ومزاعم مبالغ فيها   واضاف   لقد طبقنا اكثر من 145 اجراء امنيا علي المنصه هذا العام وحده   وافادت روبلوكس في سبتمبر ان لديها اكثر من 111 مليون مستخدم نشط يوميا  كثير منهم اطفال  وفي وقت سابق من هذا العام  اعلنت روبلوكس عن خطط لاطلاق ميزه التحقق من العمر باستخدام بطاقات الهويه ومسح الوجه  الي جانب نظام ذكاء اصطناعي يهدف الي  الكشف المبكر عن الاشارات المبكره لخطر محتمل علي الاطفال   ويحاكي هذا تغييرات مماثله علي منصات التواصل الاجتماعي مثلديسكورد  التي بدات ايضا في تطبيق ميزه التحقق من العمر هذا العام  بل وجهت اليها بعض الدعاوي القضائيه نفسها المرفوعه ضد روبلوكس  بما في ذلك قضيه تتعلق بطفل يبلغ من العمر 13 عاما من تكساس  ومع ذلك  لطالما نجحت منصات التواصل الاجتماعي في استخدام الماده 230 لحمايه نفسها من المسؤوليه عن تصرفات المستخدمين الافراد علي منصاتها  وهو عائق ستواجهه هذه الدعوي المرفوعه ضد روبلوكس  كغيرها من الدعاوي المرفوعه ضد الشركه   تم التصميم والتطوير بواسطه,negative
2,Youm7,ar,رياضة,في مثل هذا اليوم 10 نوفمبر 1979  خاض طاهر ابو زيد نجم النادي الاهلي ومنتخب مصر الاسبق اول مباراه رسميه مع المارد الاحمر في بطوله الدوري العام امام السويس   في مثل هذا اليوم 10 نوفمبر 1979  خاضطاهر ابو زيدنجم الناديالاهليومنتخب مصر الاسبق اول مباراه رسميه مع المارد الاحمر في بطوله الدوري العام امام السويس  وفاز الاهلي بهدف نظيف   1_طاهر ابو زيد من مواليد 1 ابريل 1962 بمدينه البداري في اسيوط  2_بدا مسيرته في قطاع الناشئين بالاهلي 1973 ثم تم تصعيده للفريق الاول عام 1979 عن طريق المدرب المجري الشهير ناندور هيديكوتي وظل في صفوفه حتي اعتزاله عام 1992  3_حقق نجاح كبير مع الاهلي علي مدار 15 عاما وساهم في فوزه بـ 20 لقبا  7 دوري   8 كاس مصر   2 بطوله افريقيا ابطال الدوري   3 بطوله افريقيا ابطال الكؤوس   الكاس الافرو اسيويه   4_ بزغت موهبته مع منتخب مصر للشباب في نهائيات كاس العالم تحت 20 سنه باستراليا عام 1981 حيث تالق في هذه البطوله وسجل 4 اهداف في شباك الثلاثي الاوربي اسبانيا والمانيا الغربيه وانجلترا وتصدر قائمه هدافي البطوله  5_معمنتخب مصرالاول تالق  مارادونا النيل  في الفتره من 1984 حتي 1990 وخاض 57 مباراه دوليه  6_تالق في نهائيات امم افريقيا عامي 1984 في كوت ديفوار واحرز 4 اهداف منحته جائزه هداف البطوله   كما سجل ثلاثه اهداف في نسخه 1986 منها الهدف التاريخي في شباك العملاق المغربي بادو الزاكي في نصف النهائي  7_بعد اعتزاله كره القدم اتجه ابوزيد للعمل الاداري وانتخب عضوا بمجلس اداره النادي الاهلي في التسعينات كما عمل بالتحليل الرياضي ثم اختير كوزير للرياضه في حكومه حازم الببلاوي عام 2013 كما شغل احد مقاعد مجلس النواب عن حزب الوفد الموضوعات المتعلقه تم التصميم والتطوير بواسطه,neutral
3,Youm7,ar,فن,تعرض الفنان الكبير محمد صبحي لوعكه صحيه شديده  خلال تواجده في منزله  مما دفع المقربين منه لنقله علي الفور لاحد المستشفيات   تعرض الفنان الكبير محمد صبحي لوعكه صحيه شديده  خلال تواجده في منزله  مما دفع المقربين منه لنقله علي الفور لاحد المستشفيات  واكد مصدر مقرب ان الوعكه الصحيه التي يمر بها الفنان الكبير وعكه شديده  داعيا الله ان يمن عليه بالشفاء العاجل   محمد صبحي في حاله حرجه واضاف المصدر ان محمد صبحي ليس في كامل وعيه  مما اضطر الاطباء بادخاله غرفه العنايه المركزه ووضعه تحت الملاحظه الطبيه الدقيقه  وكان قد حل الفنان الكبير محمد صبحي ضيفا علي الاعلامي الدكتور محمد سعيد محفوظ في برنامج  العاشره  علي قناه اكسترا نيوز  وذلك في اول ظهور تلفزيوني له بعد غياب طويل   محمد صبحي  لا بد ان يكون هناك رقابه وقال محمد صبحي في اللقاء انه مؤمن بالرقابه علي الاعمال الفنيه  موضحا   ولو مفيش رقابه  هقول لازم يبقي في رقابه   وتحدث محمد صبحي عن رؤيته لنفسه بعد رحلته الفنيه الطويله  وهل ما اذا ساوره الندم والاهداف والخطط التي حققها   تم التصميم والتطوير بواسطه,neutral
4,Youm7,ar,رياضة,تعود بعثه الفريق الاول لكره القدم بنادي الزمالك الي القاهره  عقب خوض مباراه الاهلي في نهائي بطوله كاس السوبر المحلي التي اقيمت امس الاحد في الامارات   تعودبعثه الفريق الاول لكره القدم بنادي الزمالكالي القاهره  اليوم الاثنين  عقب خوض مباراه الاهلي في نهائي بطوله كاس السوبر المحلي التي اقيمت امس الاحد في الامارات  ومن المنتظر ان يحصللاعبو الزمالكعلي راحه لعده ايام  بعد المجهود الكبير الذي بذلوه خلال الفتره الماضيه  قبل العوده من جديد الي التدريبات الجماعيه استعدادا لاستئناف المباريات الرسميه   ويبدا الزمالك التحضير لمواجهه زيسكو يونايتد الزامبي  في المباراه المقرر اقامتها 23 نوفمبر الجاري بالقاهره  ضمن منافسات الجوله الاولي من دور المجموعاتلبطوله كاس الكونفدراليه الافريقيه  ويامل الجهاز الفني للفريق استعاده الجاهزيه البدنيه والفنيه للاعبيه خلال فتره الراحه الحاليه  قبل الدخول في التحضيرات الجاده للمواجهه الافريقيه المرتقبه  التي يسعي الزمالك من خلالها لتحقيق انطلاقه قويه في مشواره بالبطوله  تم التصميم والتطوير بواسطه,neutral
5,Youm7,ar,سياسة,ياتي القانون رقم 147 لسنه 2021  باصدار قانون الموارد المائيه والري  في اطار الاتجاه نحو تبني برامج للتنميه الشامله  من خلال تحسين اداره المياه   ياتي القانون رقم 147 لسنه 2021  باصدارقانون الموارد المائيه والري  في اطار الاتجاه نحو تبني برامج للتنميه الشامله  من خلال تحسين اداره المياه  ورفع كفاءه استخداماتها والبحث عن مصادر غير تقليديه للمياه تدعم محاور الميزان المائي  وتضمنت اللائحه التنفيذيه لقانونالموارد المائيه والريالصادر بالقانون رقم 147 لسنه 2021  احكاما تتعلق بالموارد المائيه والاملاك العامه والاعمال الخاصه ذات الصله بالموارد المائيه  والاجراءات والمستندات المطلوبه للحصول علي تراخيص تتعلق بتلك الاعمال والانشطه التي تتم في نطاق الاملاك العامه  والضوابط والاشتراطات العامه والفنيه التي يجب علي المرخص له باقامه هذه الاعمال والانشطه الالتزام بها  وشملت بابا اخر للاحكام المتعلقه بالمياه الجوفيه  حيث نصت من خلاله علي انه يحظر القيام بحفر ابار للمياه الجوفيه سطحيه كانت او عميقه داخل اراضي الجمهوريه  ولاي غرض من اغراض الاستغلال الا بترخيص منوزاره الموارد المائيه والري  وطبقا للشروط المحدده في هذا الشان  ونظم هذا الباب اجراءات وضوابط الحصول علي تراخيص لاقامه الابار  وطبقا لنص القانون  فانه يحظر حفر ايه ابار للمياه الجوفيه داخل اراضي الجمهوريه الا بترخيص من الوزاره وطبقا للشروط التي تحددها  كما يحظر علي القائمين بحفر الابار الجوفيه من المقاولين والشركات والافراد التعاقد علي حفر ايه ابار ما لم تكن حاصله علي ترخيص بذلك من الوزاره وبما لا يتعارض مع القانون رقم 143 لسنه 1981 بشان الاراضي الصحراويه  والا غرامه من 20 الف ل200 الف وتضاعف في حاله التكرار وضبط الالات والمهمات المستخدمه  كما انه يشكل لجنه عليا للنظر في الطلبات المقدمه للحصول علي التراخيص او تقنين بحفر الابار من ممثلي الجهات المعنيه ذات الصله من شاغلي الدرجه العاليه  وان يصدر قرار من رئيس مجلس الوزراء بتشكيل اللجنه ونظام عملها وتحديد اختصاصاتها وترفع توصياتها للوزير لاعتمادها   ويعتبر اعتماد الوزير الاعمال اللجنه ملزما للجهات الاخري  كما تتولي الوزاره اجراء الدراسات الفنيه اللازمه للكشف عن مصادر المياه الجوفيه علي مستوي الجمهوريه وحصر هذه المصادر ووضع سیاسات لتنميه واستغلال المياه الجوفيه ووضع ضوابط استخدامها والحمايه لها ومراقبه كميتها ونوعيتها  وللوزاره بعد اعتماد توصيه اللجنه العليا الحق في قبول او رفض اي طلب بتعديل الغرض المرخص به استغلال البئر او تغيير معدلات التصرف وفقا لما تقتضيه ظروف وامكانات الخزان الجوفي بالمنطقه المحدده بمعرفه الوزاره  اما اذا انتقلت ملكيه الاراضي التي تقع فيها البئر لمالك جديد يتعين اخطار الاداره العامه المختصه بالبيع  ويكتفي بالتاشير بذلك علي الرخصه والا كان المالك القديم مسئولا مع المالك الجديد عن تنفيذ احكام هذا القانون    تم التصميم والتطوير بواسطه,neutral
6,Youm7,ar,سياسة,في اطار دورهم المجتمعي والانساني  يشارك الفنانون اكرم حسني  وهشام ماجد ومصطفي غريب وهاني رمزي في سلسله حفلات خيريه تنظمها مؤسسه راعي مصر   عضو التحالف الوطني  في اطار دورهم المجتمعي والانساني  يشارك الفنانون اكرم حسني  وهشام ماجد ومصطفي غريب وهاني رمزي في سلسله حفلات خيريه تنظمهامؤسسه راعي مصر  عضوالتحالف الوطني للعمل الاهلي التنموي  في كل من الولايات المتحده الامريكيه وكندا  وذلك لصالح دعم الاسر الاولي بالرعايه في مصر  وتنطلق الجوله الخيريه يوم 15 نوفمبر في تورونتو بكندا  تليها حفله في كاليفورنيا يوم 16 نوفمبر  ثم شيكاغو في 22 نوفمبر  علي ان تختتم الجوله في نيوجيرسي يوم 23 نوفمبر  واعرب الفنانون المشاركون عن سعادتهم بالمشاركه في هذه الجوله التي تهدف اليدعم الاسر الفقيرهوطلاب المدارس والجامعات غير القادرين  مؤكدين تطلعهم للقاء ابناء الجاليات المصريه في المدن التي تستضيف الحفلات  ونقل رساله الفن الايجابيه التي تجمع بين الابداع والعطاء  من جانبه  وجه المستشار امير رمزي  رئيس مجلس امناء مؤسسه راعي مصر  الشكر لنجوم مصر المشاركين علي حسهم الوطني ومبادرتهم النبيله بالمشاركه في جمع التبرعات لصالح الاسر المحتاجه  مؤكدا ان النجوم سيقطعون هذه المسافات الطويله ويخصصون جزءا كبيرا من وقتهم دعما لهذا العمل الانساني  وهي لفته تستحق كل التقدير والاحترام  واشار رمزي الي ان مؤسسه راعي مصر تسعي دائما الي صناعه فرق حقيقي في حياه الاسر الاولي بالرعايه من خلال مشروعاتها التنمويه والانسانيه داخل مصر  مؤكدا ان رساله الفن مهمه في تعزيز التكافل المجتمعي   تم التصميم والتطوير بواسطه,neutral
7,Youm7,ar,تكنولوجيا,كشف موقع Digital Chat Station  المتخصص في تسريبات الهواتف الذكيه  عن مجموعه من التحديثات لهاتف ايفون 18 برو iPhone 18 Pro  واشار الموقع الي ان الكاميرا ستتميز بفتحه عدسه متغيره كشف موقع Digital Chat Station  المتخصص في تسريبات الهواتف الذكيه  عن مجموعه من التحديثات لهاتف ايفون 18 برو iPhone 18 Pro  واشار الموقع الي ان الكاميرا ستتميز بفتحه عدسه متغيره  وسيتمتع الجزء الخلفي بتصميم شفاف  كما ستحدث تغييرات في الشاشه  بينما سيحتوي طراز Pro Max علي بطاريه فولاذيه   يقول موقع Digital Chat Station ان ابل ستستخدم تقنيه الثقب في المنطقه النشطه  HIAA  لانشاء ثقب صغير للكاميرا الاماميه  ويزعم الموقع ايضا ان شكل الشاشه سيتغير  ولكن ليس من الواضح ما يعنيه بذلك  ولن تحتوي الكاميرا الرئيسيه لهاتفiPhone 18 Proعلي فتحه عدسه ثابته  علي عكس معظم الهواتف الذكيه ذات الكاميرات العاليه  وسيبقي شريط الكاميرا الافقي المستقطب موجودا  ولكن الجزء الخلفي سيحتوي الان علي عنصر شفاف ايضا   يبدو ان هاتف iPhone 18 Pro سيمثل ترقيه كبيره  حيث سيحتوي علي بطاريه فولائيه  كما زعمت مصادر موثوقه عديده  منها The Information ومحلل صناعه الشاشات روس يونغ  سابقا ان هاتف iPhone 18 Pro لن يحتوي علي فتحه علي شكل حبه دواء مثل الطرز الحاليه  بدلا من ذلك  ستوضع الكاميرا الاماميه داخل ثقب صغير في اعلي يسار الشاشه  وسيتم نقل نظامFace ID  بما في ذلك جهاز ارسال واستقبال النقاط  الي اسفل الشاشه  لا يعرف ما اذا كانت الجزيره الديناميكيه ستلغي ايضا او ما اذا كانت الواجهه ستظهر عند الحاجه  ووفقا لتسريب سابق  سيبقي حجم شاشه iPhone 18 Pro وPro Max دون تغيير عند 6 3 بوصه و6 9 بوصه علي التوالي  تتميز الهواتف الذكيهبفتحات عدسه ثابته  ما يعني ان عدساتها تبقي مفتوحه بالكامل دائما  لكن الكاميرا الرئيسيه لهاتف iPhone 18 Pro بدقه 48 ميجابكسل قد تتيح للمستخدمين تغيير فتحه العدسه يدويا  ويبدو ان شركه BE Semiconductor الهولنديه ستزود ابل بمعدات شفرات الفتحه   سبق ان تحدث موقع Digital Chat Station عن تصميم خلفي شفاف  مدعيا ان الهاتف سيحتوي علي زجاج خلفي شفاف قليلا  وقد يتيح هذا التصميم رؤيه المكونات الداخليه  بما في ذلك ملفات شحن MagSafe   تم التصميم والتطوير بواسطه,neutral
8,Youm7,ar,فن,تعيش النجمه انغام  حاله من النشاط الفني خلال الفتره الحاليه  بعد تعافيها من ازمتها الصحيه الاخيره  وعودتها لجمهورها الكبير ومساحتها الاقرب لقلبها وهي خشبه المسرح  تعيش النجمه انغام حاله من النشاط الفني خلال الفتره الحاليه  بعد تعافيها من ازمتها الصحيه الاخيره  وعودتها لجمهورها الكبير ومساحتها الاقرب لقلبها وهي خشبه المسرح  لسلطنه جمهورها بصوتها العذب وادائها المتفرد والمختلف في كل اغانيها   وتستعد النجمه انغاملاحياء حفل ضخم فيسفح الاهراماتيوم الجمعه الموافق 1 ديسمبر المقبل  في ليله موسيقيه استثنائيه تجمع بين العراقه المصريه وسحر الصوت الاصيل  وتطل انغام الذي يلقبها جمهورها بـ صوت مصر  علي جمهورها من امام اعظم معالم الحضاره  لتقدم باقه من اروع واشهر اغانيها التي حفرت اسمها في وجدان الجمهور العربي  وسط اجواء فنيه راقيه تليق بمكانتها وبقيمه الحدث   واحيت النجمه انغام  الاسبوع الماضي  حفلا غنائيا في باريس  وقدمت باقه متنوعه من اغانيها القديمه والحديثه التي يتفاعل معها الجمهور ووجهت انغام التحيه لمصر من مسرح الحفل وهنات المصريين بافتتاح المتحف المصري الكبير  حيث قالت الف مبروك افتتاح المتحف المصري الكبير  واثنت علي حفل الافتتاح ورفعت علم مصر من علي المسرح وعلقت عبر حسابها بموقع انستجرام   تحيا مصر   وظهرت النجمه الكبيره انغام  في حفلها الكبير بمسرح رويال البرت هول الشهير بلندن يوم 23 سبتمبر الماضي  بكامل تالقها  حيث امتلا الحفل بالجمهور تحت شعار  كامل العدد   وقدمت انغام خلال الحفل باقه من اجمل اغانيها التي اطربت بها الحضور  لتعيد من جديد امجاد المصريين علي واحد من اعرق المسارح العالميه   تم التصميم والتطوير بواسطه,positive
9,Youm7,ar,اقتصاد,اظهرت بيانات الجهاز المركزي للتعبئه العامه والاحصاء  تراجع قيمه العجـز في الميـزان التجـاري الي 4 73 مليـار دولار خلال شهر اغسطس الماضي  مقابـل 4 96 مليـار دولار لنفـس الشهـر مـن العــام السابـق بنسبـه انخفاض 4 63   اظهرتبيانات الجهاز المركزي للتعبئه العامهوالاحصاء  تراجع قيمه العجـز فيالميـزان التجـاريالي 4 73 مليـار دولار خلال شهر اغسطس الماضي  مقابـل 4 96 مليـار دولار لنفـس الشهـر مـن العــام السابـق بنسبـه انخفاض 4 63   وعزا جهاز الاحصاء هذا التراجع الي ارتفاع قيمهالصادرات المصريهبنسبه 6 7   حيث بلغت 3 96 مليار دولار في شهر اغسطس الماضي  مقابل 3 71 مليار دولار لنفـس الشهر من العام السابق له  وذلك علي الرغم من ارتفاع الواردات المصريه خلال نفس الشهر بنسبه 0 2   وقال الجهاز  ان ارتفاع الصادرات المصريه جاء نتيجه زياده قيمه صادرات بعض السلع واهمها الملابس الجاهزه بنسبه 20 6   والعجائن والمحضرات الغذائيه المتنوعه بنسبـه 29 1   والبترول الخام بنسبـه 7 6   وصابون ومحضرات تنظيف بنسبه 29 4  بينما تراجعت قيمه صادرات بعض السلع خـلال اغسطس الماضي  مقابل مثيلتها لنفس الشهر من العام السابق واهمها منتجات البترول بنسبه 21 6    ولدائن باشكالها الاوليه بنسبه 30 3   واسمده  بنسبه 29 9   وفواكه طازجه بنسبه 15 2   وعلي مستوي الواردات فقد ارتفعت قيمتها بنسبه 0 2   وبلغت 8 69 مليـار دولار في شهـر اغسطس الماضي  مقابل 8 67 مليـار دولار لنفس الشهر من العام السابق  ويرجع ذلك الي ارتفاع قيمـه واردات بعض السلع واهمهـا الغاز الطبيعي  بنسبه 88 9   وسيارات الركـوب بنسبـه 66 1   وفول الصويا بنسبه 135 4   وذره  بنسبه 12 6   بينما انخفضت قيمه واردات بعض السلع خلال شهر اغسطس الماضي  مقابل مثيلتها لنفس الشهر من العـام السابــق واهمها منتجات البترول بنسبه 15 5   المواد الاوليه من حديد او صلب بنسبـه 33 8   وقمح بنسبه 13 3   ولدائن باشكالها الاوليه بنسبـه 7 8    تم التصميم والتطوير بواسطه,neutral
10,Youm7,ar,عاجل,اكدت مصادر مسئوله بوزاره التربيه والتعليم والتعليم الفني  علي انه لا تغيير في امتحانات الثانويه العامه 2026  سواء ما يتعلق بشكل الاسئله وعددها في كل ماده بالاضافه الي طريقه عقد الامتحانات   اكدت مصادر مسئوله بوزاره التربيه والتعليم والتعليم الفني  علي انه لا تغيير فيامتحانات الثانويه العامه 2026  سواء ما يتعلق بشكل الاسئله وعددها في كل ماده بالاضافه الي طريقه عقد الامتحانات  واكدتوزاره التربيه والتعليمان الامتحانات تشمل توزيعا دقيقا لعدد الاسئله وطبيعتها في كل ماده  بما يحقق التوازن في قياس المهارات المختلفه لدي الطلاب  من تحليل وفهم وتطبيق واستيعاب  ـ ماده اللغه العربيه  يتضمن الامتحان 55 سؤالا  منها 4 اسئله مقاليه و51 سؤالا من نوع الاختيار من متعدد  ويبلغ اجمالي الدرجه المخصصه للماده 80 درجه  70 درجه للاختيار من متعدد و10 درجات للاسئله المقاليه  ـ ماده اللغه الاجنبيه الاولي  يشتمل الامتحان علي 42 سؤالا  موزعه بين 3 اسئله مقاليه و39 سؤال اختيار من متعدد  باجمالي 60 درجه  51 درجه للاختيار من متعدد و9 درجات للاسئله المقاليه  ـ ماده التاريخ  يشمل الامتحان 46 سؤالا  بينها 2 سؤال مقالي و44 اختيار من متعدد  باجمالي 60 درجه  56 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ  امتحان ماده الجغرافيا  فيتضمن الامتحان 46 سؤالا  منها 2 سؤال مقالي و44 سؤال اختيار من متعدد  وتبلغ الدرجه النهائيه للماده 60 درجه  56 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ امتحان ماده الكيمياء  فيتكون من 46 سؤالا  منها 2 سؤال مقالي و44 اختيار من متعدد  باجمالي 60 درجه  56 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ امتحان ماده الفيزياء  فيضم الامتحان 46 سؤالا  تشمل 2 سؤال مقالي و44 اختيار من متعدد  باجمالي 60 درجه  56 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ امتحان ماده الاحياء  يتضمن 46 سؤالا  منها 2 سؤال مقالي و44 اختيار من متعدد  والدرجه النهائيه للماده 60 درجه  56 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ امتحان ماده الرياضيات التطبيقيه  فيتضمن الامتحان 20 سؤالا  بينها 2 سؤال مقالي و18 اختيار من متعدد  وتبلغ الدرجه النهائيه 30 درجه  26 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ امتحان ماده الرياضيات البحته  فيتضمن الامتحان 20 سؤالا  بينها 2 سؤال مقالي و18 اختيار من متعدد  وتبلغ الدرجه النهائيه 30 درجه  26 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  ـ امتحان ماده الاحصاء  فيحتوي الامتحان علي 35 سؤالا  منها 2 سؤال مقالي و33 اختيار من متعدد  باجمالي 60 درجه  56 درجه للاختيار من متعدد و4 درجات للاسئله المقاليه  تم التصميم والتطوير بواسطه,neutral
