source,language,category,text
BBC,en,world,"Typhoon Fung-wong, with sustained winds of 185 km/h (115mph), hit the Philippines as a super typhoon and later weakened. Typhoon Fung-wong has made landfall in the Philippines, where more than 900,000 people have been evacuated and two people have died. The storm hit as a super typhoon, with sustained winds of around 185 km/h (115mph) and gusts of 230km/h (143mph). The eye of the storm hit Aurora province in Luzon - the country's most populous island - at 21:10 local time (13:10 GMT). By 02:00, the storm weakened to a typhoon and was over La Union in western Luzon. The country's meteorological service warned of destructive winds and ""high-risk of life-threatening"" storm surges from the ""very intense"" typhoon. Fung-wong - known locally as Uwan - comes days after earlier storm Kalmaegi left  nearly 200 people dead. Eastern parts of the Philippines had already begun experiencing heavy rains and winds on Saturday evening, a weather official said. Residents in Catanduanes, an island in the east of the Bicol region, as well as in other low-lying and coastal areas, had been urged to move to higher ground by Sunday morning. The storm passed near the eastern Bicol region on Sunday morning, before making its way past the Polillo Islands on Sunday afternoon. The civil defence office reported that one person drowned and firefighters recovered the body of a woman trapped under debris in Catbalogan City. The civil aviation regulator has closed several airports, and almost 300 flights have been cancelled. Fung-wong was expected to weaken after making landfall, but is likely to remain a typhoon as it travels over Luzon. More than 200mm of rain is forecast for parts of Luzon, with even 100-200mm in the Metro Manilla area. This is expected to cause severe flooding and landslides. In the Aurora region, in eastern Luzon, BBC News spoke to Hagunoy, 21, who works at one of the dozen hotels which line the coast in Sabang. He said police had repeatedly visited in recent days to ensure all guests were evacuated ahead of the storm. The hotels were all deserted on Sunday morning. While the tide had risen sharply, Hagunoy said he would stay as long as he could to guard the property, before riding his motorbike home to safety. Staff had secured the gates and tied windows shut with rope to try to stop the glass from shattering in the wind. In central Aurora, more than 200 people arrived at a shelter in a sports centre. Many parents have brought young children, too young to remember Typhoon Haiyan, which killed more than 6,000 people when it struck the Philippines in 2013. ""We felt very worried because of the strength of the typhoon, and we have young children to think of,"" Jessa Zurbano told the BBC. Another evacuee Patry Azul said: ""Our house is made of wood and flimsy materials. We live close to the sea so we didn't feel safe."" Fung-wong has also forced the suspension of rescue operations following the passage of Kalmaegi, one of the strongest typhoons this year. Heavy rainfall sent torrents of mud down hillsides and into residential areas. Some poorer neighbourhoods were obliterated by the fast-moving flash floods. At least 204 people are now known to have died in the Philippines as a result of the earlier storm, while more than 100 are still missing. Five people also died in Vietnam, where strong winds uprooted trees, tore off roofs, and smashed large windows. The Filipino government declared a state of calamity across the country after Typhoon Kalmaegi and in preparation for the coming storm. It has given government agencies more power to access emergency funds and fast-track deliveries of essential goods and services. For some Filipinos, the devastation wrought by Kalmaegi has left them even more anxious about the storm to come. ""We decided to evacuate because the recent typhoon brought floods in our area, and now I just want to keep my family safe,"" Norlito Dugan told the AFP news agency. He is among those who have taken shelter in a church in the city of Sorsogon in Luzon. Another resident, Maxine Dugan said: ""I'm here because the waves near my house are now huge."" The Philippines - located near the area where Pacific Ocean tropical weather systems form - is one of the most vulnerable countries in the world to cyclones. About 20 tropical cyclones form in that region every year, half of which affect the country directly. Climate change is not thought to increase the number of hurricanes, typhoons and cyclones worldwide. However, warmer oceans coupled with a warmer atmosphere - fuelled by climate change - have the potential to make those that do form even more intense. That can potentially lead to higher wind speeds, heavier rainfall, and a greater risk of coastal flooding. Are you in the Philippines? If so you cancontact us here"
BBC,en,world,"Typhoon Fung-wong has made landfall in the Philippines, where more than 900,000 people have been evacuated. Typhoon Fung-wong has made landfall in the Philippines, where more than 900,000 people have been evacuated. The storm was upgraded to a super typhoon, with sustained winds around 185 km/h (115mph) and gusts of 230km/h (143mph). The BBC's Jonathan Head is on Luzon Island, and says there is ""debris flying everywhere"" and ""people are sheltering in any solid building they can find"". Read moreon this story."
BBC,en,world,"The government is pleading with Iranians to save water as reservoirs dry up and rainfall is at a record low. Iran - especially its capital, Tehran - is facing an unprecedented drought this autumn, with rainfall at record lows and reservoirs nearly empty. Officials are pleading with citizens to conserve water as the crisis deepens. President Masoud Pezeshkian has warned that if there is not enough rainfall soon, Tehran's water supply could be rationed. But he said that even rationing might not be enough to prevent a disaster. ""If rationing doesn't work,"" Pezeshkian said, ""we may have to evacuate Tehran."" His comments have prompted criticism in Iranian newspapers and on social media. Former Tehran mayor Gholamhossein Karbaschi called the idea ""a joke"" and said ""evacuating Tehran makes no sense at all"". Iran's meteorological officials say no rainfall is expected over the next 10 days. Meanwhile, the water crisis is already affecting daily life in the capital. ""I'm planning to buy water tankers to use for toilets and other necessities,"" a woman in Tehran told BBC Persian. In the summer, Iranian rapper Vafa Ahmadpoor posted a video on social media showing a kitchen faucet with no running water. ""It's been four or five hours,"" he said. ""I've bought bottled water just to be able to go to the toilet."" The manager of the Latian Dam, one of Tehran's main water sources, says it now holds less than 10% of its capacity. The nearby Karaj Dam — which supplies water to both Tehran and Alborz provinces — is in a similarly dire condition. ""I have never seen this dam so empty since I was born,"" an elderly local resident told Iranian state TV. According to Mohammad-Ali Moallem, the manager of the Karaj Dam, rainfall has plummeted dramatically. ""We had a 92% decrease in rain compared to last year,"" he said. ""We have only eight per cent water in our reservoir — and most of it is unusable and considered 'dead water.'"" The government is now pinning its hopes on late autumn rain, but forecasts are bleak. Iran's Minister of Energy, Abbas Ali Abadi, has warned the situation could soon force authorities to cut water supplies. ""Some nights we might decrease the water flow to zero,"" he said. Officials have also announced plans to penalise households and businesses that consume excessive amounts of water. Iran's energy minister Ali Abadi has said Tehran's water crisis is not only due to a lack of rainfall. He blamed water leakage caused by the capital's century-old water infrastructure and even pointed to the recent 12-day war with Israel. During that conflict, Israel targeted the northern Tehran neighbourhood of Tajrish on 15 June.Afterwards videos showed heavy flooding in the area. The day after the strike, the Israel Defence Forces said it had targeted Iranian military ""command centres"". But the crisis extends far beyond the capital. The head of Iran's National Centre for Climate and Drought Crisis Management, Ahmad Vazifeh, has warned that, apart from Tehran, dams in many other provinces — including West Azerbaijan, East Azerbaijan and Markazi — are also in a ""worrying state"", with water levels in the single-digit percentages. In Mashhad, Iran's second-largest city, officials are sounding the alarm as well. The Governor of Khorasan Razavi Province in north-east Iran, said the water reserves in Mashhad's dams have dropped to ""less than eight percent,"" warning that the province faces a ""mega-challenge of drought."" CEO of Mashhad's Water and Wastewater Company put the figure even lower. ""The storage level of the city's main dam is below three percent,"" Hossein Esmaeilian said. ""Only three percent of the combined capacity of Mashhad's four water-supplying dams — Torogh, Kardeh, Doosti, and Ardak — remains. Apart from Doosti Dam, the other three are out of operation."" Iran's water crisis has been decades in the making. Even Iran's Supreme Leader, Ayatollah Ali Khamenei, has repeatedly acknowledged the looming threat — speaking about water shortages in his Nowruz addresses in 2011 and on other occasions in the following years. Yet little has changed. Today, Tehran, Karaj and Mashhad — home to more than 16 million people combined — are facing the real possibility of their taps running dry."
BBC,en,world,"The Israeli military confirmed the soldier's body had been returned from Gaza after 11 years on Sunday. Israel has received the body of Lt Hadar Goldin, a soldier killed in an ambush by Hamas in 2014 and whose body has been held in Gaza since then. The Israeli military said Lt Goldin, who was 23 when he died, was formally identified and will now be buried. He left behind parents, a sister, two brothers, and a fiancée. Hamas's armed wing had said on Sunday that it would hand over Lt Goldin's body as part of a ceasefire deal. Hamas has now returned all 20 living hostages, and 24 out of 28 deceased hostages under the first phase of the deal. On Sunday, Lt Goldin's father Simcha Goldin said in a statement: ""Victory means bringing home the hostages and bringing home our soldiers to Israel."" Israeli Prime Minister Benjamin Netanyahu and President Isaac Herzog both said they had kept a picture of Lt Goldin in their offices for the past 11 years. Netanyahu said ""we didn't give up"" on bringing him home. ""I know the agony that his family's been through, I know the longing for his return that united the people of Israel and today we're united in bringing him finally to his parents, to his family, to a grave in Israel."" Efforts to retrieve Lt Goldin ""involved extensive intelligence efforts, alongside operational activities on the ground"" over the past decade and during the last two years of war between Israel and Hamas, the Israel Defense Forces (IDF) said. The military expressed ""deep condolences to the family and continues to make every effort to return all the deceased hostages and is prepared for the continued implementation of the agreement"". Herzog said the government would ""continue to act tirelessly"" to bring home all the hostages. Of the four hostages who remain in Gaza, three are Israeli and one is Thai. Lt Goldin, from Kfar Saba, is the only deceased hostage whose remains were being held in Gaza before the Hamas-led 7 October 2023 attack on Israel, which sparked the latest war. He was killed in combat on 1 August 2014, not long after the start of a ceasefire in that year's war between Israel and Hamas. He was among a group of Israeli soldiers patrolling an agricultural area near Rafah in southern Gaza when they were attacked by a group of Hamas fighters. The Israeli military determined that Lt Goldin was killed along with two other soldiers in a firefight, and that his body was then dragged into an underground tunnel by the Hamas fighters. The Israeli military unleashed massive firepower to try to prevent Hamas from taking Lt Goldin hostage. Scores of Palestinian civilians were killed in the bombardment of Rafah, which continued for four days, including after Lt Goldin was declared dead. Nine years later, the Israeli military launched a campaign in Gaza in response to the 7 October 2023 attack, in which Hamas-led gunmen killed about 1,200 people in southern Israel and took 251 others hostage. At least 69,176 people have been killed by Israeli attacks in Gaza since then, according to the Hamas-run health ministry, whose figures the UN considers reliable. During the ongoing first phase of a US-brokered ceasefire deal, Israel freed 250 Palestinian prisoners in its jails and 1,718 detainees from Gaza. Before Lt Goldin's body was returned, Israel had also handed over the bodies of 300 Palestinians in exchange for the bodies of 20 Israeli hostages returned by Hamas, along with those of three foreign hostages - one of them Thai, one Nepalese and one Tanzanian. The parties also agreed to an increase of aid to the Gaza Strip, a partial withdrawal of Israeli forces, and a halt to fighting, although violence has flared up as both sides accused one another of breaching the deal. On Saturday in Gaza, two Palestinians were killed by Israeli fire. The Israeli military said two people had crossed the yellow line marking the line of Israeli control and posed an ""immediate threat"". Separately, one Palestinian was shot dead in Gaza by Israeli fire and another was wounded on Saturday, local medics and the Israeli military said. Gazan medical officials said the person who died was killed by Israeli fire east of Bureij refugee camp in central Gaza. Civil defence rescuers said the injured Palestinian was wounded by Israeli gunfire in Khan Younis. Israeli military actions have killed at least 241 people since the start of the ceasefire, according to the Gaza health ministry."
BBC,en,world,"US lawmakers are working over the weekend as they seek a bipartisan deal to end the shutdown, which is now on day 40. Flight delays and cancellations continue to snarl US air travel for a third day as Transportation Secretary Sean Duffy warned air traffic will be ""reduced to a trickle"" if the US government shutdown continues. More than 2,900 flights to, from, or within the US were cancelled and8,600delayed by late afternoon on Sunday, according to flight tracker FlightAware. The longest delays were reported in Newark, New Jersey – more than two hours on average. In a hopeful sign, lawmakers are working on a possible deal to reach a compromise on government funding and end the shutdown, according to US media reports. The Senate was scheduled to convene on Sunday in a rare weekend session. Duffy warned the impacts on air travel will grow dire if they do not break the stalemate soon. ""You're going to see air travel be reduced to a trickle,"" he said on CNN on Sunday. He added that travellers trying to fly home for the Thanksgiving holiday later this month may not be able to get there. ""Many of them are not going to be able to get on an airplane, because there are not going to be that many flights that fly if this thing doesn't open back up,"" he said. The Federal Aviation Administration (FAA) announced last week that it would be reducing air travel capacity by up to 6% this weekend and 10% by next weekend at 40 of the nation's busiest airports. The cuts do not apply to international flights, but some airlines may choose to also cancel some of those flights, the FAA said. Air traffic controllers, who are not being paid during the shutdown, are reportedly fatigued and not coming to work, triggering the reductions in air traffic allowances. Duffy said Defence Secretary Pete Hegseth offered to have military air traffic controllers step in to help but he declined the offer because they are not certified to direct air traffic at the civilian airports. Altogether, hundreds of thousands of federal workers are not being paid since the Government ran out of money on 1 October. Food assistance for low-income Americans also has been in limbo, with the administration agreeing to pay only half of monthly benefits. Sunday marked the 40th day of the longest shutdown in history as Republicans and Democrats still have not agreed on a funding resolution to reopen the government. The two parties have blamed each other for causing the impasse and for the travel disruptions. The White House said on Friday that Democrats were ""inflicting their man-made catastrophe on Americans just trying to make life-saving medical trips or get home for Thanksgiving"". Meanwhile, on Saturday Senate minority leader Chuck Schumer accused Republicans of ""playing games with people's livelihoods"". Democrats have refused to back any Republican spending plan unless money for health insurance subsidies be included, while Republicans want to provide funding for the government without anything else attached. US President Donald Trump suggested over the weekend money should be sent directly to Americans to buy health insurance rather than to insurance companies. Republican senators are working on a compromise package that could end the impasse with a vote to advance legislation possibly coming on Sunday."
BBC,en,world,"Emergency services have warned tourists and locals to keep away from coastal paths due to rough sea conditions. Three people died and 15 more were injured after powerful waves battered popular Spanish holiday island Tenerife. A woman died after being pulled into the ocean near the the Puerto de la Cruz resort and a man died at Santa Cruz de Tenerife, emergency services said on Sunday. A third man was found dead in the ocean near a beach in Granadilla. Emergency services have told the public to stay away from coastal paths and to avoid taking pictures and videos of the rough seas, as the turbulent weather continues. Rescue services said they airlifted a man who fell into water at La Guancha in the north of the island, but that he was later pronounced dead at hospital. They said another man died after he was found floating near a beach at El Cabezo in the south, with lifeguards and medical staff unable to resuscitate him. At Puerto de la Cruz, a holiday resort in northern Tenerife, one woman died of a heart attack and another 10 people were swept out to sea. Three of those were seriously injured and taken to hospital. A local waiter, who gave his name only as Pedro, told the Reuters news agency that he jumped into the water in an attempt to save people being swept out. ""As soon as I saw a man waving at me I took my clothes off, jumped to the water and I managed to grab three of them and save them. I couldn't save the woman because she passed away at that moment,"" he said. Eyewitness Carlos said he warned people taking photos to move away from the waves but ""they did not pay attention"". Officials say the Canary Islands, the Spanish archipelago Tenerife belongs to, are on alert for coastal hazards. They warned sea conditions are expected to worsen with swells reaching two-to-four metres, and tourists and locals should exercise ""extreme caution""."
BBC,en,world,"Sir Richard Knighton, the UK military chief, says his Belgian counterpart requested assistance in the form of personnel and equipment this week. Britain is providing military support to Belgium after a series of suspected Russian drone incursions into its airspace, the new chief of the defence staff has said. Sir Richard Knighton told the BBC's Sunday with Laura Kuenssberg that his Belgian counterpart had asked for assistance earlier this week and that equipment and personnel were now on the way. Brussels Airportwas forced to close temporarily on Thursday night after drones were spotted nearby. They were also seen in other locations, including a military base. It follows a series of drone incursion over several Nato nations that disrupted air travel. Russia has denied accusations of conducting ""hybrid warfare"" on allies of Ukraine. Sir Richard said it was not known for sure if the incursions were by Russia, but that it was ""plausible"" they had been ordered by Moscow. Defence Secretary John Healey said in a statement: ""As hybrid threats grow, our strength lies in our alliances and our collective resolve to defend, deter and protect our critical infrastructure and airspace"". Members of the RAF's 2 Force Protection Wing are likely to be deployed, the BBC understands. Alongside Nato allies, Sir Richard added that the UK would help Belgium ""by providing our kit and capability"". The German defence ministry said on Friday that it too would support Belgium with anti-drone measures after a request from Brussels. About 3,000 Brussels Airlines passengers were affected by Thursday's disruption, with the carrier saying it faced ""considerable costs"" from cancelling or diverting dozens of flights. German Defence Minister Boris Pistorius and the Belgian security services have said they suspect Russia of being behind the incursion, but Belgian Defence Minister Theo Francken previously indicated there was no evidence to suggest this. ""At first, drones flying over our military bases were seen as our problem,"" Francken said earlier this week. ""Now it has become a serious threat affecting civilian infrastructure across multiple European countries."" Sir Richard said Russia was, broadly speaking, ""the most pressing threat right now"" to Europe. ""The illegal invasion of Ukraine has shown the barbaric nature of Russia's war efforts."" He added thatsabotageandkillingshad been carried out by Russia on UK soil, and that so-called hybrid warfare was an area in which ""we [the UK] need to strengthen ourselves"". Moscow launched a full-scale invasion of Ukraine in 2022, and currently controls around a fifth of its territory, including the Crimean peninsula that it annexed in 2014. Hybrid threats use a mix of military and non-military tactics and are designed to interfere with infrastructure or institutions, according to Nato. The shadow defence secretary welcomed the decision to assist Belgium, saying there was ""a heightened threat environment"" and that a key part of deterring threats was ""by acting with other countries through Nato"". But James Cartlidge also criticised the government's approach to increasing defence spending, saying more urgency was needed. In spring, the government announced defence spending would rise to 2.5% of GDP from April 2027, with an ambition to reach 3% in the next parliament. Sir Richard said the funding was ""more than I've ever known in my career"". The incursion into Belgian airspace follows similar incursions across European nations including Sweden, Norway, Denmark and Germany. All are Nato allies that have provided support to Ukraine. While some have pointed the finger at Russia, officials have not produced evidence linking the incursions to Moscow, while the Kremlin has consistently denied any involvement. Suspicions have been fuelled bymore overt airspace incursionsby Russia in Eastern Europe in recent months, involvingfighter jetsand larger attack drones. Mocow has denied these were intentional. The UK has recently sentRAF Typhoon jets to take part in defence missionsover Poland as part of Nato'smission to bolster the eastern flankin response to incursions. Pistorious has suggested the latest sightings could be linked to EU-wide discussions touse frozen Russian assets to support Ukrainein the form of a €140bn loan."
BBC,en,world,"The mystery youth in the photo turns out to be Pedro Elias Garzon Delvaux, a 15-year-old detective fan. In the three weeks since the Louvre museum heist, as investigators sought to find out who was behind it and why the French crown jewels had been so easy to steal, another mystery remained: who the ""fedora man"" was. The dapper youth in a hat was photographed outside the museum that Sunday and went viral on social media, prompting theories about his identity. Policemoved swiftlyto arrest and charge four people for the crime, while theLouvre director admittedCCTV security was inadequate. However, the fedora man remained an enigma - until now. The dandy, it turns out, is a local teenage fan of Sherlock Holmes and Hercule Poirot who just happened to be at a real crime scene. Pedro Elias Garzon Delvaux, a 15-year-old from Rambouillet, south-west of Paris told the Associated Press (AP) news agency that he had planned to visit the Louvre with his family but found the museum was closed. ""We didn't know there was a heist,"" he said. As he asked officers about the closure, an AP photographer seeking to capture the security cordon took a picture and included Pedro in the frame. Pedro only realised the photo had gone viral four days later, when a friend sent him a screenshot asking: ""Is that you?"" When he replied that it was, the friend said he had five million views on TikTok. ""I was a bit surprised,"" Pedro told the AP. He was even more shocked when his mother called to say the picture had appeared in The New York Times. It made a big impact on him, he said, because he reads that newspaper and ""it's not every day you're in the New York Times"". ""People said, 'You've become a star'. I was astonished that just with one photo you can become viral in a few days."" Asked why he wore an old-fashioned waistcoat and a fedora to the museum, Pedro said he began dressing this way recently, inspired by 20th-century statesmen and fictional detectives. ""I like to be chic,"" he told the AP. ""I go to school like this."" As wild speculation about the photo of him circulated online - some wondered whether he might be a real detective or an AI fake - Pedro remained silent for weeks. ""I didn't want to say immediately it was me,"" he said. ""With this photo there is a mystery, so you have to make it last."""
BBC,en,world,"The museum authority has cancelled all preview events leading up to Tuesday's grand opening. Protesters targeted a new multi-million dollar museum in Nigeria and forced organisers to halt a preview event ahead of Tuesday's grand opening. Videos showed a group insulting foreign guests and ordering them to leave after entering the grounds of the Museum of West African Art (Mowaa) in Benin City on Sunday. The museum in Edo state was in part conceived as a home for the Benin Bronzes - artefacts looted from there by British soldiers in the 19th Century. The campus includes state-of-the art preservation and restoration facilities. However, a bitter dispute over the control of the prized artworks has meant they are not at the museum, something that appeared to have angered the protesters. All guests were safely escorted to secure locations,according to a statement from the museum. ""We sincerely apologise for any inconvenience this situation may have caused,"" Mowaa said. A local resident told the BBC the frustration stems from what many see as a hijacking of an Edo project. ""The Benin Oba [king], traditional rulers and the government of Edo are not happy about it,"" the resident added. ""Edo"" was initially in the museum's name, but this was later dropped. Executive director Phillip Ihenacho told the BBC the backers wanted the institution to serve a wider purpose beyond Nigeria. In its statement, Mowaa said the protest ""appeared to stem from disputes between the previous and current state administrations"". The museum emphasised it was an independent, non-profit organisation and, though a former state governor had backed the project, he had no interest in it ""financial or otherwise"". Mowaa has now cancelled all preview events leading up to the opening and advised visitors to avoid the campus until the situation is resolved. ""We are deeply grateful to all our guests - many of whom travelled long distances to be here - for their understanding, patience and resilience,"" the statement said. ""We sincerely apologise for any inconvenience this situation may have caused."" Go toBBCAfrica.comfor more news from the African continent. Follow us on Twitter@BBCAfrica, on Facebook atBBC Africaor on Instagram atbbcafrica"
BBC,en,world,"A manhunt is under way for the 68-year-old's killer and other suspects who were at the scene in Tema. A British man has died after being shot during a robbery in Ghana on Friday, police say. Ashraf Qarmar Parvez, 68, was shot after he tried to stop an attempt to steal his phone at a drinking spot in Tema, a city to the east of the Ghanaian capital, Accra. He later died in hospital, police said. Authorities in Ghana are searching for the shooter - one of a group of six suspects who they say were at the scene and fled on motorbikes. The UK Foreign Office said it was supporting the family of a man who had died. A 9mm spent bullet shell was recovered from the shooting site and police have interviewed witnesses as part of their investigation. The incident has raised security concerns in the industrial city of Tema, but a local police spokesperson told the BBC that the shooting was a rare incident."
